종목코드,종목명,PBR,시세변화율(%)
003480,한진중공업홀딩스,0.18,37.54266211604096
011160,두산건설,0.2,37.54266211604096
000950,전방,0.24,110.78717201166181
016610,동부증권,0.25,-7.199100112485939
097230,한진중공업,0.25,135.95166163141994
001530,동일방직,0.26,-60.7563025210084
005620,대성합동지주,0.27,-60.7563025210084
005010,휴스틸,0.28,-43.896103896103895
009200,무림페이퍼,0.29,-9.21985815602837
002200,수출포장,0.31,-82.59640102827764
002300,한국제지,0.31,-82.59640102827764
002220,한일철강,0.31,-83.38541666666667
003530,한화투자증권,0.31,38.32923832923833
006200,한국전자홀딩스,0.32,38.27160493827161
001940,KISCO홀딩스,0.33,53.45454545454545
003830,대한화섬,0.33,14.218009478672986
017940,E1,0.34,-12.724014336917563
001080,만호제강,0.35,222.98850574712642
000680,LS네트웍스,0.36,-4.637096774193548
004690,삼천리,0.36,446.7032967032967
058650,세아홀딩스,0.36,16.34121274409044
002030,아세아,0.36,25.221238938053098
010100,한국프랜지,0.36,115.80882352941177
023800,인지컨트롤스,0.37,32.09509658246657
001750,한양증권,0.37,31.771595900439237
000500,가온전선,0.38,-2.176470588235294
015360,예스코,0.38,-15.894868585732166
016880,웅진,0.38,-21.796690307328607
071090,하이스틸,0.38,-84.29368029739777
010660,화천기계,0.38,-84.3956043956044
006370,대구백화점,0.39,9.318181818181818
008110,대동전자,0.39,159.79073243647235
016710,대성홀딩스,0.39,1945.5974842767296
082740,두산엔진,0.39,50.18939393939394
010770,평화홀딩스,0.39,-42.58064516129032
145210,세화아이엠씨,0.4
003240,태광산업,0.4,-45.68181818181818
036530,S&T홀딩스,0.41,20.23076923076923
192530,광주은행,0.41,20.23076923076923
002070,남영비비안,0.41,-78.44155844155844
002690,동일제강,0.41,-22.69170579029734
002310,아세아제지,0.41,10.668789808917197
138930,BNK금융지주,0.42,-7.230559345156889
001500,HMC투자증권,0.42,4.40324449594438
003570,S&T중공업,0.42,31.52777777777778
001620,동국실업,0.42,2.9904306220095696
021820,세원정공,0.42
003200,일신방직,0.42,-86.125
036460,한국가스공사,0.42,-41.70124481327801
000850,화천기공,0.42,-8.637469586374696
175330,JB금융지주,0.43,54.73684210526316
001290,골든브릿지증권,0.43,-57.527472527472526
015760,한국전력,0.43,-42.35649546827795
006110,삼아알미늄,0.44,1878.5969084423305
001200,유진투자증권,0.44,6.947368421052632
001130,대한제분,0.45,-16.647727272727273
016590,신대양제지,0.45,43.676222596964585
183190,아세아시멘트,0.45,-90.39613526570048
017390,서울가스,0.46,447.42388758782204
006880,신송홀딩스,0.46,79.37219730941705
002920,유성기업,0.46,0.5154639175257731
071320,지역난방공사,0.46,-50.70175438596491
002320,한진,0.46,-61.152416356877325
001250,GS글로벌,0.47,26.16632860040568
092220,KEC,0.47,122.70531400966183
092230,KPX홀딩스,0.47,-12.581699346405228
012320,경동가스,0.47,238.25503355704697
024110,기업은행,0.47,-27.473309608540927
023530,롯데쇼핑,0.47,-61.279620853080566
009580,무림P&P,0.47,-38.03630363036304
004020,현대제철,0.47,-17.34806629834254
000590,CS홀딩스,0.48,-8.763693270735525
030610,교보증권,0.48,-43.421052631578945
007860,서연,0.48,128.099173553719
033530,세종공업,0.48,-16.5596919127086
003460,유화증권,0.48,-82.5
000760,이화산업,0.48,70.71240105540898
013870,지엠비코리아,0.48,-39.130434782608695
104700,한국철강,0.48,28.26086956521739
129260,인터지스,0.49,7.792207792207792
002240,고려제강,0.5,-12.688172043010752
006660,삼성공조,0.5,28.791208791208792
002820,선창산업,0.5,-46.40831758034027
003030,세아제강,0.5,187.6267748478702
086790,하나금융지주,0.5,16.275862068965516
005430,한국공항,0.5,-4.918032786885246
002000,한국유리,0.5,-4.918032786885246
030210,KTB투자증권,0.51,75.0
001230,동국제강,0.51,76.76348547717842
004360,세방,0.51,258.75
005800,신영와코루,0.51,-91.3587786259542
000030,우리은행,0.51,-91.3587786259542
006220,제주은행,0.51,440.27926960257787
025890,한국주강,0.51,114.42006269592477
000910,유니온,0.52,84.79685452162516
004150,한솔홀딩스,0.52,-36.3
018880,한온시스템,0.52,-15.277777777777779
085620,미래에셋생명,0.53,-41.75704989154013
003610,방림,0.53,-69.39271255060729
011210,현대위아,0.53,64.96551724137932
139130,DGB금융지주,0.54,-15.884476534296029
004970,신라교역,0.54,-17.05426356589147
000140,하이트진로홀딩스,0.54,34.52211126961483
009070,KCTC,0.55,45.91304347826087
024070,WISCOM,0.55,2.5454545454545454
001520,동양,0.55,-47.971014492753625
082640,동양생명,0.55,-11.949685534591195
005680,삼영전자,0.55,-21.350210970464136
011300,성안,0.55,234.38485804416405
103590,일진전기,0.55,147.0
004090,한국석유,0.55,-91.84386617100371
009140,경인전자,0.56,15.402298850574713
001210,금호전기,0.56,-86.06656580937972
001790,대한제당,0.56,-82.47368421052632
013570,디와이,0.56,6.581352833638026
033660,아주캐피탈,0.56,6.581352833638026
011760,현대상사,0.56,-35.30249110320285
000540,흥국화재,0.56,-30.18065887353879
005490,POSCO,0.57,62.96296296296296
013580,계룡건설,0.57,-20.689655172413794
026940,부국철강,0.57,18.15126050420168
009410,태영건설,0.57,-66.65198237885463
003010,혜인,0.57,25.800376647834273
000860,강남제비스코,0.58,15.4
000270,기아차,0.58,147.18100890207714
005420,코스모화학,0.58,447.93388429752065
004560,현대비앤지스틸,0.58,101.91011235955057
101060,SBS미디어홀딩스,0.59,101.91011235955057
092440,기신정기,0.59,-1.455604075691412
000320,노루홀딩스,0.59,-17.306122448979593
001270,부국증권,0.59,-10.913140311804009
009270,신원,0.59,-21.28342245989305
006890,태경화학,0.59,210.1293103448276
011280,태림포장,0.59,-32.20125786163522
117580,대성에너지,0.6,70.55555555555556
003960,사조대림,0.6,12.190082644628099
008250,이건산업,0.6,-23.609756097560975
023810,인팩,0.6,202.7287319422151
144620,코오롱머티리얼,0.6,202.7287319422151
010690,화신,0.6,480.93220338983053
002380,KCC,0.61,-30.74433656957929
000050,경방,0.61,0.18518518518518517
003540,대신증권,0.61,17.356828193832598
084010,대한제강,0.61,141.68157423971377
004140,동방,0.61,67.51824817518248
008500,일정실업,0.61,-32.98701298701299
014790,한라,0.61,-41.183294663573086
