종목코드,종목명,PER,PER,시세변화율(%)
001520,동양,0.84,0.55,-47.971014492753625
015760,한국전력,2.13,0.43,-42.35649546827795
000320,노루홀딩스,2.41,0.59,-17.306122448979593
011760,현대상사,2.81,0.56,-35.30249110320285
002320,한진,3.21,0.46,-61.152416356877325
016740,두올,3.22,0.79,8.741258741258742
016880,웅진,3.82,0.38,-21.796690307328607
011790,SKC,3.85,0.74,198.60335195530726
030610,교보증권,4.02,0.48,-43.421052631578945
079660,사조해표,4.11,0.62,-23.90909090909091
123700,SJM,4.19,0.66,15.728476821192054
001940,KISCO홀딩스,4.44,0.33,53.45454545454545
000590,CS홀딩스,4.53,0.48,-8.763693270735525
200880,서연이화,4.67,0.62,208.76404494382024
004840,DRB동일,4.76,0.69,-32.77439024390244
058650,세아홀딩스,4.78,0.36,16.34121274409044
138930,BNK금융지주,4.87,0.42,-7.230559345156889
008500,일정실업,4.92,0.61,-32.98701298701299
011210,현대위아,5.02,0.53,64.96551724137932
007690,국도화학,5.08,0.67,-2.3001095290251916
004170,신세계,5.09,0.68,-19.7265625
007860,서연,5.11,0.48,128.099173553719
001200,유진투자증권,5.2,0.44,6.947368421052632
090350,노루페인트,5.21,0.63,1.9441069258809234
100840,S&TC,5.27,0.62,97.28506787330316
000270,기아차,5.31,0.58,147.18100890207714
014830,유니드,5.62,0.71,65.71428571428571
023810,인팩,5.74,0.6,202.7287319422151
085620,미래에셋생명,5.75,0.53,-41.75704989154013
005720,넥센,5.79,0.62,-23.90909090909091
075180,새론오토모티브,5.89,0.74,-18.67572156196944
003650,미창석유,5.93,0.7,-12.679738562091503
005380,현대차,5.93,0.65,60.675105485232066
023800,인지컨트롤스,5.99,0.37,32.09509658246657
001500,HMC투자증권,6.06,0.42,4.40324449594438
002690,동일제강,6.06,0.41,-22.69170579029734
000860,강남제비스코,6.26,0.58,15.4
001430,세아베스틸,6.26,0.65,33.61581920903955
139130,DGB금융지주,6.28,0.54,-15.884476534296029
084670,동양고속,6.28,0.76,-49.895833333333336
084010,대한제강,6.33,0.61,141.68157423971377
183190,아세아시멘트,6.33,0.45,-90.39613526570048
025530,SJM홀딩스,6.38,0.64,-6.2773722627737225
010100,한국프랜지,6.46,0.36,115.80882352941177
003540,대신증권,6.47,0.61,17.356828193832598
082640,동양생명,6.5,0.55,-11.949685534591195
104700,한국철강,6.52,0.48,28.26086956521739
163560,동일고무벨트,6.55,0.79,-2.0537124802527646
015230,대창단조,6.59,0.72,-83.6768149882904
175330,JB금융지주,6.65,0.43,54.73684210526316
000370,한화손해보험,6.68,0.74,-23.011844331641285
004490,세방전지,6.73,0.7,49.93045897079277
071320,지역난방공사,6.87,0.46,-50.70175438596491
129260,인터지스,6.89,0.49,7.792207792207792
012330,현대모비스,6.92,0.84,21.05263157894737
002000,한국유리,6.98,0.5,-4.918032786885246
000850,화천기공,6.98,0.42,-8.637469586374696
017390,서울가스,7.0,0.46,447.42388758782204
002460,화성산업,7.13,0.62,-30.06896551724138
036530,S&T홀딩스,7.36,0.41,20.23076923076923
024110,기업은행,7.39,0.47,-27.473309608540927
001270,부국증권,7.44,0.59,-10.913140311804009
092230,KPX홀딩스,7.47,0.47,-12.581699346405228
067830,세이브존I&C,7.49,0.62,-18.922852983988356
003690,코리안리,7.51,0.69,-12.933025404157044
000390,삼화페인트,7.53,0.68,-7.803468208092486
016710,대성홀딩스,7.63,0.39,1945.5974842767296
227840,현대코퍼레이션홀딩스,7.78,0.74,-29.3125
030210,KTB투자증권,7.96,0.51,75.0
058860,케이티스,7.98,0.78,37.21881390593047
002070,남영비비안,8.01,0.41,-78.44155844155844
013570,디와이,8.1,0.56,6.581352833638026
009160,SIMPAC,8.13,0.62,122.54098360655738
033530,세종공업,8.16,0.48,-16.5596919127086
003570,S&T중공업,8.22,0.42,31.52777777777778
013870,지엠비코리아,8.29,0.48,-39.130434782608695
015350,부산가스,8.33,0.76,-49.895833333333336
006220,제주은행,8.37,0.51,440.27926960257787
004360,세방,8.44,0.51,258.75
004450,삼화왕관,8.55,0.78,-20.597652081109924
033660,아주캐피탈,8.55,0.56,6.581352833638026
003960,사조대림,8.6,0.6,12.190082644628099
037710,광주신세계,8.64,0.81,-81.5
058850,KTcs,8.65,0.74,45.87525150905432
001130,대한제분,8.65,0.45,-16.647727272727273
060980,한라홀딩스,8.69,0.73,-25.942857142857143
025000,KPX케미칼,8.73,0.74,-8.01526717557252
001720,신영증권,8.74,0.79,-6.610169491525424
001390,KG케미칼,8.78,0.8,239.08045977011494
005810,풍산홀딩스,8.83,0.66,13.877551020408163
004020,현대제철,8.93,0.47,-17.34806629834254
004960,한신공영,8.98,0.81,-52.916666666666664
016360,삼성증권,9.01,0.75,10.793650793650794
023000,삼원강재,9.13,0.81,16.725352112676056
019440,세아특수강,9.17,0.64,21.476510067114095
002150,도화엔지니어링,9.25,0.73,-1.2716763005780347
005850,에스엘,9.25,0.77,56.8922305764411
006800,미래에셋대우,9.27,0.67,6.1255742725880555
012030,동부,9.36,0.79,159.92779783393502
088350,한화생명,9.36,0.62,-41.58767772511848
013580,계룡건설,9.64,0.57,-20.689655172413794
002920,유성기업,9.66,0.46,0.5154639175257731
055550,신한지주,9.95,0.75,-9.469696969696969
